domain,n_layers_aggregate,n_layers_indicator,n_layers_final_score,total_size_gb_aggregate,total_size_gb_indicator,total_size_gb_final_score
air_quality,4,7,0,  1.32,  1.45,0
all_domains,0,0,1,  0,  0,2.01
communities,3,10,0,573.44NA,  1.51,0
iconic_places,0,8,0,  0,870.4B,0
iconic_species,0,9,0,  0,  1.72,0
iconic_species_old,0,7,0,  0, 40.96NA,0
infrastructure,4,6,0,  1.32,  1.06,0
livelihoods,4,5,0,675.84NA,829.44B,0
natural_habitats,4,0,0,  8.58,  0,0
retro_2005,0,1,0,  0, 92.16B,0
sense_of_place,7,0,0,  2.03,  0,0
species,4,4,0,  3.54,  3.56,0
water,4,16,0,  1.06,  3.53,0
